Projeto,Dono,Lista-Linguagem,Criado,Update,Push,Size,Estrelas,Watchers,Linguagem,Forks,Problemas,Subscribers
Tasmota,arendst,https://api.github.com/repos/arendst/Tasmota/languages,2017-01-28T13:37:08Z,2025-06-12T21:38:15Z,2025-06-12T05:53:41Z,254251,23328,23328,C,4925,5,619
localstack,localstack,https://api.github.com/repos/localstack/localstack/languages,2016-10-25T23:48:03Z,2025-06-12T23:14:21Z,2025-06-12T18:15:17Z,52189,59273,59273,Python,4164,317,517
youtube-music,th-ch,https://api.github.com/repos/th-ch/youtube-music/languages,2019-04-19T18:14:40Z,2025-06-12T22:59:35Z,2025-06-12T13:41:21Z,17144,22368,22368,TypeScript,1170,405,130
n8n,n8n-io,https://api.github.com/repos/n8n-io/n8n/languages,2019-06-22T09:24:21Z,2025-06-12T23:25:22Z,2025-06-12T21:48:48Z,219128,106763,106763,TypeScript,30269,942,666
discord.js,discordjs,https://api.github.com/repos/discordjs/discord.js/languages,2015-08-10T13:36:26Z,2025-06-12T20:04:53Z,2025-06-12T10:33:02Z,54227,26027,26027,TypeScript,3994,101,426
python-telegram-bot,python-telegram-bot,https://api.github.com/repos/python-telegram-bot/python-telegram-bot/languages,2015-07-07T15:30:39Z,2025-06-12T23:04:12Z,2025-06-11T20:26:19Z,16805,27677,27677,Python,5706,21,603
ccxt,ccxt,https://api.github.com/repos/ccxt/ccxt/languages,2017-05-14T15:41:56Z,2025-06-12T22:58:03Z,2025-06-12T18:21:47Z,4917604,36877,36877,Python,7981,1508,938
starship,starship,https://api.github.com/repos/starship/starship/languages,2019-04-02T03:23:12Z,2025-06-12T22:42:32Z,2025-06-12T22:42:27Z,43436,49279,49279,Rust,2134,885,193
nvm,nvm-sh,https://api.github.com/repos/nvm-sh/nvm/languages,2010-04-15T17:47:47Z,2025-06-12T22:51:34Z,2025-04-23T23:34:46Z,3869,85064,85064,Shell,8911,350,1027
qBittorrent,qbittorrent,https://api.github.com/repos/qbittorrent/qBittorrent/languages,2012-02-04T09:37:46Z,2025-06-12T20:18:06Z,2025-06-09T13:46:07Z,270379,31555,31555,C++,4238,2359,426
TypeScript,microsoft,https://api.github.com/repos/microsoft/TypeScript/languages,2014-06-17T15:28:39Z,2025-06-12T20:39:56Z,2025-06-12T22:31:38Z,2902884,104929,104929,TypeScript,12874,6069,2161
flutter,flutter,https://api.github.com/repos/flutter/flutter/languages,2015-03-06T22:54:58Z,2025-06-12T23:24:58Z,2025-06-12T23:25:00Z,386643,170928,170928,Dart,28708,12914,3501
serverless,serverless,https://api.github.com/repos/serverless/serverless/languages,2015-04-21T03:48:40Z,2025-06-12T14:43:03Z,2025-06-05T18:22:27Z,100183,46710,46710,JavaScript,5739,1242,929
flink,apache,https://api.github.com/repos/apache/flink/languages,2014-06-07T07:00:10Z,2025-06-12T19:37:08Z,2025-06-12T19:37:03Z,525150,24942,24942,Java,13578,191,932
babel,babel,https://api.github.com/repos/babel/babel/languages,2014-09-28T13:38:23Z,2025-06-12T14:10:36Z,2025-06-11T14:08:45Z,132494,43614,43614,TypeScript,5718,767,805
electron,electron,https://api.github.com/repos/electron/electron/languages,2013-04-12T01:47:36Z,2025-06-12T19:43:09Z,2025-06-12T21:36:19Z,177018,117104,117104,C++,16126,870,2813
neovim,neovim,https://api.github.com/repos/neovim/neovim/languages,2014-01-31T13:39:22Z,2025-06-12T21:35:22Z,2025-06-12T23:08:26Z,327973,90268,90268,Vim Script,6123,1970,981
bootstrap,twbs,https://api.github.com/repos/twbs/bootstrap/languages,2011-07-29T21:19:00Z,2025-06-12T20:58:17Z,2025-06-12T18:24:12Z,258051,172402,172402,MDX,79138,540,6705
supabase,supabase,https://api.github.com/repos/supabase/supabase/languages,2019-10-12T05:56:49Z,2025-06-12T22:52:37Z,2025-06-12T23:00:54Z,1712073,84394,84394,TypeScript,8910,664,567
docusaurus,facebook,https://api.github.com/repos/facebook/docusaurus/languages,2017-06-20T16:13:53Z,2025-06-12T21:07:06Z,2025-06-06T18:16:09Z,801118,60300,60300,TypeScript,9154,368,419
matplotlib,matplotlib,https://api.github.com/repos/matplotlib/matplotlib/languages,2011-02-19T03:17:12Z,2025-06-12T23:01:44Z,2025-06-12T20:54:43Z,463435,21329,21329,Python,7893,1655,589
react-native,facebook,https://api.github.com/repos/facebook/react-native/languages,2015-01-09T18:10:16Z,2025-06-12T22:35:56Z,2025-06-12T22:35:51Z,924353,122612,122612,C++,24707,995,3580
vscode,microsoft,https://api.github.com/repos/microsoft/vscode/languages,2015-09-03T20:23:38Z,2025-06-12T23:25:27Z,2025-06-12T22:47:31Z,1027526,173449,173449,TypeScript,33026,10504,3353
tensorflow,tensorflow,https://api.github.com/repos/tensorflow/tensorflow/languages,2015-11-07T01:19:20Z,2025-06-12T23:12:54Z,2025-06-12T23:26:46Z,1168451,190338,190338,C++,74695,1366,7490
kubernetes,kubernetes,https://api.github.com/repos/kubernetes/kubernetes/languages,2014-06-06T22:56:04Z,2025-06-12T23:17:02Z,2025-06-12T23:07:01Z,1373249,115705,115705,Go,40713,2551,3211
django,django,https://api.github.com/repos/django/django/languages,2012-04-28T02:47:18Z,2025-06-12T23:16:41Z,2025-06-12T20:35:14Z,268256,83888,83888,Python,32642,340,2283
scikit-learn,scikit-learn,https://api.github.com/repos/scikit-learn/scikit-learn/languages,2010-08-17T09:43:38Z,2025-06-12T21:51:13Z,2025-06-12T15:23:09Z,173246,62326,62326,Python,25922,2179,2135
angular,angular,https://api.github.com/repos/angular/angular/languages,2014-09-18T16:12:01Z,2025-06-12T22:33:14Z,2025-06-12T18:58:36Z,550892,98125,98125,TypeScript,26325,1550,3006
transformers,huggingface,https://api.github.com/repos/huggingface/transformers/languages,2018-10-29T13:56:00Z,2025-06-12T22:17:46Z,2025-06-12T22:19:40Z,324012,145524,145524,Python,29326,1834,1151
ansible,ansible,https://api.github.com/repos/ansible/ansible/languages,2012-03-06T14:58:02Z,2025-06-12T22:37:27Z,2025-06-12T22:37:21Z,259615,65332,65332,Python,24026,818,1895
pandas,pandas-dev,https://api.github.com/repos/pandas-dev/pandas/languages,2010-08-24T01:37:33Z,2025-06-12T23:02:41Z,2025-06-12T19:11:01Z,369154,45690,45690,Python,18592,3733,1109
